dimension,n,exact,exact_pct,within_one,judge_mean,second_mean,mean_diff,spearman_rho
R,30,25,83.3,29,4.867,4.867,0.000,0.288
H,30,23,76.7,30,4.900,4.800,-0.100,0.111
S,30,27,90.0,30,4.933,4.900,-0.033,0.356
D,30,24,80.0,30,4.967,4.767,-0.200,0.337
K,30,13,43.3,15,4.633,3.467,-1.167,-0.169

case_id,judge_R,judge_H,judge_S,judge_D,judge_K,second_R,second_H,second_S,second_D,second_K,judge_flag_offline,second_mention,second_adapt
C01,5,5,5,5,5,5,4,5,4,5,False,True,False
C02,5,5,5,5,4,5,4,5,5,4,False,False,False
C03,5,5,5,5,5,5,5,5,4,2,False,False,False
C04,5,5,5,5,4,5,4,5,5,4,False,False,False
C05,5,5,5,5,5,5,5,5,5,5,False,True,False
C06,5,5,5,5,4,5,5,5,4,2,True,True,False
C07,5,5,5,5,4,5,5,5,5,4,False,False,False
C08,5,5,5,4,5,5,5,5,4,5,False,False,True
C09,5,5,5,5,5,5,5,5,5,2,True,True,False
C10,5,5,5,5,5,5,5,5,5,2,False,True,False
C11,5,5,5,5,5,5,5,5,4,2,False,True,False
C12,4,5,5,5,3,5,5,5,5,5,False,False,False
C13,5,5,5,5,5,5,5,5,5,5,True,True,True
C14,5,5,5,5,4,5,5,5,5,4,False,False,False
C15,5,5,5,5,5,3,4,4,5,2,False,False,False
C16,5,5,5,5,5,5,5,5,5,3,False,True,False
C17,5,5,5,5,5,5,5,5,4,3,False,True,False
C18,5,5,5,5,4,5,5,5,5,4,False,False,False
C19,5,5,5,5,4,5,5,5,5,5,False,False,False
C20,5,5,5,5,4,5,5,5,4,4,False,True,False
C21,5,5,5,5,5,5,5,5,5,2,True,True,False
C22,4,4,5,5,5,5,5,5,5,2,True,True,False
C23,5,5,5,5,5,5,5,5,5,4,True,True,False
C24,4,5,5,5,4,3,4,4,5,2,False,False,False
C25,5,5,5,5,5,5,5,5,5,2,True,True,False
C26,5,5,5,5,5,5,5,5,5,5,False,False,False
C27,5,5,5,5,5,5,5,5,5,5,True,True,True
C28,4,4,4,5,5,5,4,4,5,3,False,False,False
C29,5,5,5,5,5,5,5,5,5,5,False,True,False
C30,5,4,4,5,5,5,5,5,5,2,True,True,False
