blind_id,test_id,domain,model,strategy,incident_id,run_index
C01,INC-LAMP-0018-TC4,LAMP,gpt-4.1,S0_RAW,INC-LAMP-0018,1
C02,INC-LAMP-0021-TC1,LAMP,gemini-2.5-flash,S0,INC-LAMP-0021,2
C03,INC-SIGNAL-0018-TC2,SIGNAL,mistral-large,S1,INC-SIGNAL-0018,10
C04,INC-SIGNAL-0004-TC1,SIGNAL,gpt-4.1,S0,INC-SIGNAL-0004,2
C05,INC-SIGNAL-0011-TC5,SIGNAL,gemini-2.5-flash,S0_UNSTRUCTURED,INC-SIGNAL-0011,5
C06,INC-SIGNAL-0027-TC2,SIGNAL,gpt-4.1,S1,INC-SIGNAL-0027,5
C07,INC-SIGNAL-0026-TC1,SIGNAL,mistral-large,S0,INC-SIGNAL-0026,2
C08,INC-SIGNAL-0029-TC3,SIGNAL,gemini-2.5-flash,S2,INC-SIGNAL-0029,6
C09,INC-SIGNAL-0019-TC4,SIGNAL,mistral-large,S0_RAW,INC-SIGNAL-0019,2
C10,INC-SIGNAL-0010-TC3,SIGNAL,mistral-large,S2,INC-SIGNAL-0010,2
C11,INC-LAMP-0028-TC2,LAMP,mistral-large,S1,INC-LAMP-0028,10
C12,INC-SIGNAL-0025-TC1,SIGNAL,gemini-2.5-flash,S0,INC-SIGNAL-0025,3
C13,INC-LAMP-0026-TC3,LAMP,gemini-2.5-flash,S2,INC-LAMP-0026,9
C14,INC-LAMP-0003-TC1,LAMP,mistral-large,S0,INC-LAMP-0003,9
C15,INC-SIGNAL-0015-TC5,SIGNAL,gpt-4.1,S0_UNSTRUCTURED,INC-SIGNAL-0015,6
C16,INC-SIGNAL-0023-TC4,SIGNAL,gemini-2.5-flash,S0_RAW,INC-SIGNAL-0023,7
C17,INC-SIGNAL-0005-TC2,SIGNAL,gemini-2.5-flash,S1,INC-SIGNAL-0005,4
C18,INC-LAMP-0004-TC1,LAMP,gpt-4.1,S0,INC-LAMP-0004,10
C19,INC-LAMP-0014-TC4,LAMP,mistral-large,S0_RAW,INC-LAMP-0014,9
C20,INC-LAMP-0017-TC3,LAMP,mistral-large,S2,INC-LAMP-0017,1
C21,INC-LAMP-0012-TC2,LAMP,gpt-4.1,S1,INC-LAMP-0012,4
C22,INC-LAMP-0024-TC5,LAMP,mistral-large,S0_UNSTRUCTURED,INC-LAMP-0024,4
C23,INC-LAMP-0006-TC2,LAMP,gemini-2.5-flash,S1,INC-LAMP-0006,2
C24,INC-SIGNAL-0030-TC5,SIGNAL,mistral-large,S0_UNSTRUCTURED,INC-SIGNAL-0030,5
C25,INC-LAMP-0009-TC5,LAMP,gemini-2.5-flash,S0_UNSTRUCTURED,INC-LAMP-0009,4
C26,INC-LAMP-0025-TC3,LAMP,gpt-4.1,S2,INC-LAMP-0025,10
C27,INC-SIGNAL-0002-TC3,SIGNAL,gpt-4.1,S2,INC-SIGNAL-0002,8
C28,INC-LAMP-0002-TC5,LAMP,gpt-4.1,S0_UNSTRUCTURED,INC-LAMP-0002,2
C29,INC-SIGNAL-0016-TC4,SIGNAL,gpt-4.1,S0_RAW,INC-SIGNAL-0016,2
C30,INC-LAMP-0001-TC4,LAMP,gemini-2.5-flash,S0_RAW,INC-LAMP-0001,5
